Κωδικός;Όνομα;Είδη - Λιανική Τιμή;1η Μ.Μ.;Κλάση Φ.Π.Α.
3075001112;ΣΩΜΑΤΑ  500/11/1200  C-PLAN BUDERUS;386,88;TEMAXIA;Κανονικός
3075001110;ΣΩΜΑΤΑ  500/11/1000  C-PLAN BUDERUS;349,68;TEMAXIA;Κανονικός
3075001109;ΣΩΜΑΤΑ  500/11/900  C-PLAN BUDERUS;313,72;TEMAXIA;Κανονικός
3075001108;ΣΩΜΑΤΑ  500/11/800  C-PLAN BUDERUS;295,12;TEMAXIA;Κανονικός
3075001107;ΣΩΜΑΤΑ  500/11/700  C-PLAN BUDERUS;279;TEMAXIA;Κανονικός
3075001106;ΣΩΜΑΤΑ  500/11/600  C-PLAN BUDERUS;254,2;TEMAXIA;Κανονικός
3075001105;ΣΩΜΑΤΑ  500/11/500  C-PLAN BUDERUS;229,4;TEMAXIA;Κανονικός
3075001104;ΣΩΜΑΤΑ  500/11/400  C-PLAN  BUDERUS;212,04;TEMAXIA;Κανονικός
3074003330;ΣΩΜΑΤΑ  400/33/3000  C-PLAN BUDERUS;1113,52;TEMAXIA;Κανονικός
3074003326;ΣΩΜΑΤΑ  400/33/2600  C-PLAN BUDERUS;996,96;TEMAXIA;Κανονικός
3074003323;ΣΩΜΑΤΑ  400/33/2300  C-PLAN BUDERUS;917,6;TEMAXIA;Κανονικός
3074003320;ΣΩΜΑΤΑ  400/33/2000  C-PLAN BUDERUS;837;TEMAXIA;Κανονικός
3074003318;ΣΩΜΑΤΑ  400/33/1800  C-PLAN BUDERUS;837;TEMAXIA;Κανονικός
3074003316;ΣΩΜΑΤΑ  400/33/1600  C-PLAN BUDERUS;711,76;TEMAXIA;Κανονικός
3074003314;ΣΩΜΑΤΑ  400/33/1400  C-PLAN BUDERUS;610,08;TEMAXIA;Κανονικός
3074003312;ΣΩΜΑΤΑ  400/33/1200  C-PLAN BUDERUS;528,24;TEMAXIA;Κανονικός
3074003310;ΣΩΜΑΤΑ  400/33/1000  C-PLAN BUDERUS;468,72;TEMAXIA;Κανονικός
3074003309;ΣΩΜΑΤΑ  400/33/900  C-PLAN BUDERUS;420,36;TEMAXIA;Κανονικός
3074003308;ΣΩΜΑΤΑ  400/33/800  C-PLAN BUDERUS;393,08;TEMAXIA;Κανονικός
3074003307;ΣΩΜΑΤΑ  400/33/700  C-PLAN BUDERUS;368,28;TEMAXIA;Κανονικός
3074003306;ΣΩΜΑΤΑ  400/33/600  C-PLAN BUDERUS;334,8;TEMAXIA;Κανονικός
3074003305;ΣΩΜΑΤΑ  400/33/500  C-PLAN BUDERUS;298,84;TEMAXIA;Κανονικός
3074003304;ΣΩΜΑΤΑ  400/33/400  C-PLAN BUDERUS;270,32;TEMAXIA;Κανονικός
3074002230;ΣΩΜΑΤΑ  400/22/3000  C-PLAN BUDERUS;889,08;TEMAXIA;Κανονικός
3074002226;ΣΩΜΑΤΑ  400/22/2600  C-PLAN BUDERUS;798,56;TEMAXIA;Κανονικός
3074002223;ΣΩΜΑΤΑ  400/22/2300  C-PLAN BUDERUS;794,84;TEMAXIA;Κανονικός
3074002220;ΣΩΜΑΤΑ  400/22/2000  C-PLAN BUDERUS;732,84;TEMAXIA;Κανονικός
3074002218;ΣΩΜΑΤΑ  400/22/1800  C-PLAN BUDERUS;641,08;TEMAXIA;Κανονικός
3074002216;ΣΩΜΑΤΑ  400/22/1600  C-PLAN BUDERUS;636,12;TEMAXIA;Κανονικός
3074002214;ΣΩΜΑΤΑ  400/22/1400  C-PLAN BUDERUS;468,72;TEMAXIA;Κανονικός
3074002212;ΣΩΜΑΤΑ  400/22/1200  C-PLAN BUDERUS;458,8;TEMAXIA;Κανονικός
3074002210;ΣΩΜΑΤΑ  400/22/1000  C-PLAN BUDERUS;386,88;TEMAXIA;Κανονικός
3074002209;ΣΩΜΑΤΑ  400/22/900  C-PLAN BUDERUS;341;TEMAXIA;Κανονικός
3074002208;ΣΩΜΑΤΑ  400/22/800  C-PLAN BUDERUS;321,16;TEMAXIA;Κανονικός
3074002207;ΣΩΜΑΤΑ  400/22/700  C-PLAN BUDERUS;301,32;TEMAXIA;Κανονικός
3074002206;ΣΩΜΑΤΑ  400/22/600  C-PLAN  BUDERUS;275,28;TEMAXIA;Κανονικός
3074002205;ΣΩΜΑΤΑ  400/22/500  C-PLAN BUDERUS;245,52;TEMAXIA;Κανονικός
3074002204;ΣΩΜΑΤΑ  400/22/400  C-PLAN BUDERUS;223,2;TEMAXIA;Κανονικός
3074001130;ΣΩΜΑΤΑ  400/11/3000  C-PLAN BUDERUS;714,24;TEMAXIA;Κανονικός
3074001126;ΣΩΜΑΤΑ  400/11/2600  C-PLAN BUDERUS;660,92;TEMAXIA;Κανονικός
3074001123;ΣΩΜΑΤΑ  400/11/2300  C-PLAN BUDERUS;622,48;TEMAXIA;Κανονικός
3074001120;ΣΩΜΑΤΑ  400/11/2000  C-PLAN BUDERUS;579,08;TEMAXIA;Κανονικός
3074001118;ΣΩΜΑΤΑ  400/11/1800  C-PLAN BUDERUS;549,32;TEMAXIA;Κανονικός
3074001116;ΣΩΜΑΤΑ  400/11/1600  C-PLAN BUDERUS;498,48;TEMAXIA;Κανονικός
3074001114;ΣΩΜΑΤΑ  400/11/1400  C-PLAN BUDERUS;393,08;TEMAXIA;Κανονικός
3074001112;ΣΩΜΑΤΑ  400/11/1200  C-PLAN BUDERUS;360,84;TEMAXIA;Κανονικός
3074001110;ΣΩΜΑΤΑ  400/11/1000  C-PLAN BUDERUS;334,8;TEMAXIA;Κανονικός
3074001109;ΣΩΜΑΤΑ  400/11/900  C-PLAN BUDERUS;295,12;TEMAXIA;Κανονικός
3074001108;ΣΩΜΑΤΑ  400/11/800  C-PLAN BUDERUS;280,24;TEMAXIA;Κανονικός
3074001107;ΣΩΜΑΤΑ  400/11/700  C-PLAN BUDERUS;265,36;TEMAXIA;Κανονικός
3074001106;ΣΩΜΑΤΑ  400/11/600  C-PLAN BUDERUS;243,04;TEMAXIA;Κανονικός
3074001105;ΣΩΜΑΤΑ  400/11/500  C-PLAN BUDERUS;221,96;TEMAXIA;Κανονικός
3074001104;ΣΩΜΑΤΑ  400/11/400  C-PLAN BUDERUS;204,6;TEMAXIA;Κανονικός
3073330030;ΣΩΜΑΤΑ  300/33/3000  C-PLAN BUDERUS;974,64;TEMAXIA;Κανονικός
3073330026;ΣΩΜΑΤΑ  300/33/2600  C-PLAN BUDERUS;875,44;TEMAXIA;Κανονικός
3073330020;ΣΩΜΑΤΑ  300/33/2000  C-PLAN BUDERUS;745,24;TEMAXIA;Κανονικός
3073330018;ΣΩΜΑΤΑ  300/33/1800  C-PLAN BUDERUS;699,36;TEMAXIA;Κανονικός
3073330016;ΣΩΜΑΤΑ  300/33/1600  C-PLAN BUDERUS;694,4;TEMAXIA;Κανονικός
3073330014;ΣΩΜΑΤΑ  300/33/1400  C-PLAN BUDERUS;514,6;TEMAXIA;Κανονικός
3073003323;ΣΩΜΑΤΑ  300/33/2300  C-PLAN BUDERUS;812,2;TEMAXIA;Κανονικός
3073003312;ΣΩΜΑΤΑ  300/33/1200  C-PLAN BUDERUS;500,96;TEMAXIA;Κανονικός
3073003310;ΣΩΜΑΤΑ  300/33/1000  C-PLAN BUDERUS;424,08;TEMAXIA;Κανονικός
3073003309;ΣΩΜΑΤΑ  300/33/900  C-PLAN BUDERUS;404,24;TEMAXIA;Κανονικός
3073003308;ΣΩΜΑΤΑ  300/33/800  C-PLAN BUDERUS;376,96;TEMAXIA;Κανονικός
3073003307;ΣΩΜΑΤΑ  300/33/700  C-PLAN BUDERUS;334,8;TEMAXIA;Κανονικός
3073003306;ΣΩΜΑΤΑ  300/33/600  C-PLAN BUDERUS;305,04;TEMAXIA;Κανονικός
3073003305;ΣΩΜΑΤΑ  300/33/500  C-PLAN BUDERUS;275,28;TEMAXIA;Κανονικός
3073003304;ΣΩΜΑΤΑ  300/33/400  C-PLAN BUDERUS;250,48;TEMAXIA;Κανονικός
3073002230;ΣΩΜΑΤΑ  300/22/3000  C-PLAN BUDERUS;789,88;TEMAXIA;Κανονικός
3073002226;ΣΩΜΑΤΑ  300/22/2600  C-PLAN BUDERUS;714,24;TEMAXIA;Κανονικός
3073002223;ΣΩΜΑΤΑ  300/22/2300  C-PLAN BUDERUS;667,12;TEMAXIA;Κανονικός
3073002220;ΣΩΜΑΤΑ  300/22/2000  C-PLAN BUDERUS;615,04;TEMAXIA;Κανονικός
3073002218;ΣΩΜΑΤΑ  300/22/1800  C-PLAN BUDERUS;582,8;TEMAXIA;Κανονικός
3073002216;ΣΩΜΑΤΑ  300/22/1600  C-PLAN BUDERUS;531,96;TEMAXIA;Κανονικός
3073002214;ΣΩΜΑΤΑ  300/22/1400  C-PLAN BUDERUS;450,12;TEMAXIA;Κανονικός
3073002212;ΣΩΜΑΤΑ  300/22/1200  C-PLAN BUDERUS;390,6;TEMAXIA;Κανονικός
3073002210;ΣΩΜΑΤΑ  300/22/1000  C-PLAN BUDERUS;350,92;TEMAXIA;Κανονικός
3073002209;ΣΩΜΑΤΑ  300/22/900  C-PLAN BUDERUS;313,72;TEMAXIA;Κανονικός
3073002208;ΣΩΜΑΤΑ  300/22/800  C-PLAN BUDERUS;293,88;TEMAXIA;Κανονικός
3073002207;ΣΩΜΑΤΑ  300/22/700  C-PLAN BUDERUS;277,76;TEMAXIA;Κανονικός
3073002206;ΣΩΜΑΤΑ  300/22/600  C-PLAN BUDERUS;252,96;TEMAXIA;Κανονικός
3073002205;ΣΩΜΑΤΑ  300/22/500  C-PLAN BUDERUS;226,92;TEMAXIA;Κανονικός
3073002204;ΣΩΜΑΤΑ  300/22/400  C-PLAN BUDERUS;209,56;TEMAXIA;Κανονικός
3073001130;ΣΩΜΑΤΑ  300/11/3000  C-PLAN BUDERUS;639,84;TEMAXIA;Κανονικός
3073001126;ΣΩΜΑΤΑ  300/11/2600  C-PLAN BUDERUS;598,92;TEMAXIA;Κανονικός
3073001123;ΣΩΜΑΤΑ  300/11/2300  C-PLAN BUDERUS;560,48;TEMAXIA;Κανονικός
3073001120;ΣΩΜΑΤΑ  300/11/2000  C-PLAN BUDERUS;579,08;TEMAXIA;Κανονικός
3073001118;ΣΩΜΑΤΑ  300/11/1800  C-PLAN BUDERUS;505,92;TEMAXIA;Κανονικός
3073001116;ΣΩΜΑΤΑ  300/11/1600  C-PLAN BUDERUS;460,04;TEMAXIA;Κανονικός
3073001114;ΣΩΜΑΤΑ  300/11/1400  C-PLAN BUDERUS;358,36;TEMAXIA;Κανονικός
3073001112;ΣΩΜΑΤΑ  300/11/1200  C-PLAN BUDERUS;329,84;TEMAXIA;Κανονικός
3073001110;ΣΩΜΑΤΑ  300/11/1000  C-PLAN BUDERUS;300,08;TEMAXIA;Κανονικός
3073001109;ΣΩΜΑΤΑ  300/11/900  C-PLAN BUDERUS;274,04;TEMAXIA;Κανονικός
3073001108;ΣΩΜΑΤΑ  300/11/800  C-PLAN BUDERUS;259,16;TEMAXIA;Κανονικός
3073001107;ΣΩΜΑΤΑ  300/11/700  C-PLAN BUDERUS;248;TEMAXIA;Κανονικός
3073001106;ΣΩΜΑΤΑ  300/11/600  C-PLAN BUDERUS;225,68;TEMAXIA;Κανονικός
3073001105;ΣΩΜΑΤΑ  300/11/500  C-PLAN BUDERUS;207,08;TEMAXIA;Κανονικός
3073001104;ΣΩΜΑΤΑ  300/11/400  C-PLAN BUDERUS;193,44;TEMAXIA;Κανονικός
3069003330;ΣΩΜΑΤΑ  900/33/3000  VC-PROFIL BUDERUS;1402,44;TEMAXIA;Κανονικός
3069003326;ΣΩΜΑΤΑ  900/33/2600  VC-PROFIL BUDERUS;1242,48;TEMAXIA;Κανονικός
3069003323;ΣΩΜΑΤΑ  900/33/2300  VC-PROFIL BUDERUS;1119,72;TEMAXIA;Κανονικός
3069003320;ΣΩΜΑΤΑ  900/33/2000  VC-PROFIL BUDERUS;992;TEMAXIA;Κανονικός
3069003318;ΣΩΜΑΤΑ  900/33/1800  VC-PROFIL BUDERUS;910,16;TEMAXIA;Κανονικός
3069003316;ΣΩΜΑΤΑ  900/33/1600  VC-PROFIL BUDERUS;823,36;TEMAXIA;Κανονικός
3069003314;ΣΩΜΑΤΑ  900/33/1400  VC-PROFIL BUDERUS;747,72;TEMAXIA;Κανονικός
3069003312;ΣΩΜΑΤΑ  900/33/1200  VC-PROFIL BUDERUS;657,2;TEMAXIA;Κανονικός
3069003310;ΣΩΜΑΤΑ  900/33/1000  VC-PROFIL BUDERUS;569,16;TEMAXIA;Κανονικός
3069003309;ΣΩΜΑΤΑ  900/33/900  VC-PROFIL BUDERUS;528,24;TEMAXIA;Κανονικός
3069003308;ΣΩΜΑΤΑ  900/33/800  VC-PROFIL BUDERUS;482,36;TEMAXIA;Κανονικός
3069003307;ΣΩΜΑΤΑ  900/33/700  VC-PROFIL BUDERUS;443,92;TEMAXIA;Κανονικός
3069003306;ΣΩΜΑΤΑ  900/33/600  VC-PROFIL BUDERUS;406,72;TEMAXIA;Κανονικός
3069003305;ΣΩΜΑΤΑ  900/33/500  VC-PROFIL BUDERUS;367,04;TEMAXIA;Κανονικός
3069003304;ΣΩΜΑΤΑ  900/33/400  VC-PROFIL BUDERUS;332,32;TEMAXIA;Κανονικός
3069002230;ΣΩΜΑΤΑ  900/22/3000  VC-PROFIL BUDERUS;994,48;TEMAXIA;Κανονικός
3069002226;ΣΩΜΑΤΑ  900/22/2600  VC-PROFIL BUDERUS;890,32;TEMAXIA;Κανονικός
3069002223;ΣΩΜΑΤΑ  900/22/2300  VC-PROFIL BUDERUS;806;TEMAXIA;Κανονικός
3069002220;ΣΩΜΑΤΑ  900/22/2000  VC-PROFIL BUDERUS;716,72;TEMAXIA;Κανονικός
3069002218;ΣΩΜΑΤΑ  900/22/1800  VC-PROFIL BUDERUS;659,68;TEMAXIA;Κανονικός
3069002216;ΣΩΜΑΤΑ  900/22/1600  VC-PROFIL BUDERUS;600,16;TEMAXIA;Κανονικός
3069002214;ΣΩΜΑΤΑ  900/22/1400  VC-PROFIL BUDERUS;543,12;TEMAXIA;Κανονικός
3069002212;ΣΩΜΑΤΑ  900/22/1200  VC-PROFIL BUDERUS;481,12;TEMAXIA;Κανονικός
3069002210;ΣΩΜΑΤΑ  900/22/1000  VC-PROFIL BUDERUS;422,84;TEMAXIA;Κανονικός
3069002209;ΣΩΜΑΤΑ  900/22/900  VC-PROFIL BUDERUS;391,84;TEMAXIA;Κανονικός
3069002208;ΣΩΜΑΤΑ  900/22/800  VC-PROFIL BUDERUS;360,84;TEMAXIA;Κανονικός
3069002207;ΣΩΜΑΤΑ  900/22/700  VC-PROFIL BUDERUS;331,08;TEMAXIA;Κανονικός
3069002206;ΣΩΜΑΤΑ  900/22/600  VC-PROFIL BUDERUS;307,52;TEMAXIA;Κανονικός
3069002205;ΣΩΜΑΤΑ  900/22/500  VC-PROFIL BUDERUS;280,24;TEMAXIA;Κανονικός
3069002204;ΣΩΜΑΤΑ  900/22/400  VC-PROFIL BUDERUS;257,92;TEMAXIA;Κανονικός
3069001130;ΣΩΜΑΤΑ  900/11/3000  VC-PROFIL BUDERUS;665,88;TEMAXIA;Κανονικός
3069001126;ΣΩΜΑΤΑ  900/11/2600  VC-PROFIL BUDERUS;605,12;TEMAXIA;Κανονικός
3069001123;ΣΩΜΑΤΑ  900/11/2300  VC-PROFIL BUDERUS;555,52;TEMAXIA;Κανονικός
3069001120;ΣΩΜΑΤΑ  900/11/2000  VC-PROFIL BUDERUS;500,96;TEMAXIA;Κανονικός
3069001118;ΣΩΜΑΤΑ  900/11/1800  VC-PROFIL BUDERUS;465;TEMAXIA;Κανονικός
3069001116;ΣΩΜΑΤΑ  900/11/1600  VC-PROFIL BUDERUS;421,6;TEMAXIA;Κανονικός
3069001114;ΣΩΜΑΤΑ  900/11/1400  VC-PROFIL BUDERUS;384,4;TEMAXIA;Κανονικός
3069001112;ΣΩΜΑΤΑ  900/11/1200  VC-PROFIL BUDERUS;341;TEMAXIA;Κανονικός
3069001110;ΣΩΜΑΤΑ  900/11/1000  VC-PROFIL BUDERUS;307,52;TEMAXIA;Κανονικός
3069001109;ΣΩΜΑΤΑ  900/11/900  VC-PROFIL BUDERUS;295,12;TEMAXIA;Κανονικός
3069001108;ΣΩΜΑΤΑ  900/11/800  VC-PROFIL BUDERUS;277,76;TEMAXIA;Κανονικός
3069001107;ΣΩΜΑΤΑ  900/11/700  VC-PROFIL BUDERUS;261,64;TEMAXIA;Κανονικός
3069001106;ΣΩΜΑΤΑ  900/11/600  VC-PROFIL BUDERUS;244,28;TEMAXIA;Κανονικός
3069001105;ΣΩΜΑΤΑ  900/11/500  VC-PROFIL BUDERUS;230,64;TEMAXIA;Κανονικός
3069001104;ΣΩΜΑΤΑ  900/11/400  VC-PROFIL BUDERUS;212,04;TEMAXIA;Κανονικός
3066003330;ΣΩΜΑΤΑ  600/33/3000  VC-PROFIL BUDERUS;1016,8;TEMAXIA;Κανονικός
3066003326;ΣΩΜΑΤΑ  600/33/2600  VC-PROFIL BUDERUS;908,92;TEMAXIA;Κανονικός
3066003323;ΣΩΜΑΤΑ  600/33/2300  VC-PROFIL BUDERUS;837;TEMAXIA;Κανονικός
3066003320;ΣΩΜΑΤΑ  600/33/2000  VC-PROFIL BUDERUS;732,84;TEMAXIA;Κανονικός
3066003318;ΣΩΜΑΤΑ  600/33/1800  VC-PROFIL BUDERUS;685,72;TEMAXIA;Κανονικός
3066003316;ΣΩΜΑΤΑ  600/33/1600  VC-PROFIL BUDERUS;623,72;TEMAXIA;Κανονικός
3066003314;ΣΩΜΑΤΑ  600/33/1400  VC-PROFIL BUDERUS;550,56;TEMAXIA;Κανονικός
3066003312;ΣΩΜΑΤΑ  600/33/1200  VC-PROFIL BUDERUS;492,28;TEMAXIA;Κανονικός
3066003310;ΣΩΜΑΤΑ  600/33/1000  VC PROFIL BUDERUS;432,76;TEMAXIA;Κανονικός
3066003309;ΣΩΜΑΤΑ  600/33/900  VC-PROFIL BUDERUS;409,2;TEMAXIA;Κανονικός
3066003308;ΣΩΜΑΤΑ  600/33/800  VC-PROFIL BUDERUS;372;TEMAXIA;Κανονικός
3066003307;ΣΩΜΑΤΑ  600/33/700  VC-PROFIL BUDERUS;345,96;TEMAXIA;Κανονικός
3066003306;ΣΩΜΑΤΑ  600/33/600  VC-PROFIL BUDERUS;322,4;TEMAXIA;Κανονικός
3066003305;ΣΩΜΑΤΑ  600/33/500  VC-PROFIL BUDERUS;297,6;TEMAXIA;Κανονικός
3066003304;ΣΩΜΑΤΑ  600/33/400  VC-PROFIL BUDERUS;271,56;TEMAXIA;Κανονικός
3066002230;ΣΩΜΑΤΑ  600/22/3000  VC-PROFIL BUDERUS;736,56;TEMAXIA;Κανονικός
3066002226;ΣΩΜΑΤΑ  600/22/2600  VC-PROFIL BUDERUS;660,92;TEMAXIA;Κανονικός
3066002223;ΣΩΜΑΤΑ  600/22/2300  VC-PROFIL BUDERUS;611,32;TEMAXIA;Κανονικός
3066002220;ΣΩΜΑΤΑ  600/22/2000  VC-PROFIL BUDERUS;548,08;TEMAXIA;Κανονικός
3066002218;ΣΩΜΑΤΑ  600/22/1800  VC-PROFIL BUDERUS;507,16;TEMAXIA;Κανονικός
3066002216;ΣΩΜΑΤΑ  600/22/1600  VC-PROFIL BUDERUS;461,28;TEMAXIA;Κανονικός
3066002214;ΣΩΜΑΤΑ  600/22/1400  VC-PROFIL BUDERUS;410,44;TEMAXIA;Κανονικός
3066002212;ΣΩΜΑΤΑ  600/22/1200 VC-PROFIL BUDERUS;370,76;TEMAXIA;Κανονικός
3066002210;ΣΩΜΑΤΑ  600/22/1000  VC-PROFIL BUDERUS;326,12;TEMAXIA;Κανονικός
3066002209;ΣΩΜΑΤΑ  600/22/900  VC-PROFIL BUDERUS;306,28;TEMAXIA;Κανονικός
3066002208;ΣΩΜΑΤΑ  600/22/800  VC-PROFIL BUDERUS;287,68;TEMAXIA;Κανονικός
3066002207;ΣΩΜΑΤΑ  600/22/700  VC-PROFIL BUDERUS;266,6;TEMAXIA;Κανονικός
3066002206;ΣΩΜΑΤΑ  600/22/600  VC-PROFIL BUDERUS;248;TEMAXIA;Κανονικός
3066002205;ΣΩΜΑΤΑ  600/22/500  VC-PROFIL BUDERUS;229,4;TEMAXIA;Κανονικός
3066002204;ΣΩΜΑΤΑ  600/22/400  VC-PROFIL BUDERUS;210,8;TEMAXIA;Κανονικός
3066001130;ΣΩΜΑΤΑ  600/11/3000  VC-PROFIL BUDERUS;520,8;TEMAXIA;Κανονικός
3066001126;ΣΩΜΑΤΑ  600/11/2600  VC-PROFIL BUDERUS;474,92;TEMAXIA;Κανονικός
3066001123;ΣΩΜΑΤΑ  600/11/2300  VC-PROFIL BUDERUS;441,44;TEMAXIA;Κανονικός
3066001120;ΣΩΜΑΤΑ  600/11/2000  VC-PROFIL BUDERUS;400,52;TEMAXIA;Κανονικός
3066001118;ΣΩΜΑΤΑ  600/11/1800  VC-PROFIL BUDERUS;374,48;TEMAXIA;Κανονικός
3066001116;ΣΩΜΑΤΑ  600/11/1600  VC-PROFIL BUDERUS;338,52;TEMAXIA;Κανονικός
3066001114;ΣΩΜΑΤΑ  600/11/1400  VC-PROFIL BUDERUS;313,72;TEMAXIA;Κανονικός
3066001112;ΣΩΜΑΤΑ  600/11/1200  VC-PROFIL BUDERUS;279;TEMAXIA;Κανονικός
3066001110;ΣΩΜΑΤΑ  600/11/1000  VC-PROFIL BUDERUS;256,68;TEMAXIA;Κανονικός
3066001109;ΣΩΜΑΤΑ  600/11/900  VC-PROFIL BUDERUS;243,04;TEMAXIA;Κανονικός
3066001108;ΣΩΜΑΤΑ  600/11/800  VC-PROFIL BUDERUS;230,64;TEMAXIA;Κανονικός
3066001107;ΣΩΜΑΤΑ  600/11/700  VC-PROFIL BUDERUS;221,96;TEMAXIA;Κανονικός
3066001106;ΣΩΜΑΤΑ  600/11/600  VC-PROFIL BUDERUS;209,56;TEMAXIA;Κανονικός
3066001105;ΣΩΜΑΤΑ  600/11/500  VC-PROFIL BUDERUS;195,92;TEMAXIA;Κανονικός
3066001104;ΣΩΜΑΤΑ  600/11/400  VC-PROFIL BUDERUS;194,68;TEMAXIA;Κανονικός
3065003330;ΣΩΜΑΤΑ  500/33/3000  VC-PROFIL BUDERUS;889,08;TEMAXIA;Κανονικός
3065003326;ΣΩΜΑΤΑ  500/33/2600  VC-PROFIL BUDERUS;792,36;TEMAXIA;Κανονικός
3065003323;ΣΩΜΑΤΑ  500/33/2300  VC-PROFIL BUDERUS;721,68;TEMAXIA;Κανονικός
3065003320;ΣΩΜΑΤΑ  500/33/2000  VC-PROFIL BUDERUS;643,56;TEMAXIA;Κανονικός
3065003318;ΣΩΜΑΤΑ  500/33/1800  VC-PROFIL BUDERUS;592,72;TEMAXIA;Κανονικός
3065003316;ΣΩΜΑΤΑ  500/33/1600  VC-PROFIL BUDERUS;539,4;TEMAXIA;Κανονικός
3065003314;ΣΩΜΑΤΑ  500/33/1400  C-PROFIL BUDERUS;434;TEMAXIA;Κανονικός
3065003312;ΣΩΜΑΤΑ  500/33/1200  VC-PROFIL BUDERUS;437,72;TEMAXIA;Κανονικός
3065003310;ΣΩΜΑΤΑ  500/33/1000  VC-PROFIL BUDERUS;388,12;TEMAXIA;Κανονικός
3065003309;ΣΩΜΑΤΑ  500/33/900  VC-PROFIL BUDERUS;360,84;TEMAXIA;Κανονικός
3065003308;ΣΩΜΑΤΑ  500/33/800  VC-PROFIL BUDERUS;332,32;TEMAXIA;Κανονικός
3065003307;ΣΩΜΑΤΑ  500/33/700  VC-PROFIL BUDERUS;307,52;TEMAXIA;Κανονικός
3065003306;ΣΩΜΑΤΑ  500/33/600  VC-PROFIL BUDERUS;287,68;TEMAXIA;Κανονικός
3065003305;ΣΩΜΑΤΑ  500/33/500  VC-PROFIL BUDERUS;265,36;TEMAXIA;Κανονικός
3065003304;ΣΩΜΑΤΑ  500/33/400  VC-PROFIL BUDERUS;243,04;TEMAXIA;Κανονικός
3065002230;ΣΩΜΑΤΑ  500/22/3000  VC-PROFIL BUDERUS;648,52;TEMAXIA;Κανονικός
3065002226;ΣΩΜΑΤΑ  500/22/2600  VC-PROFIL BUDERUS;584,04;TEMAXIA;Κανονικός
3065002223;ΣΩΜΑΤΑ  500/22/2300  VC-PROFIL BUDERUS;535,68;TEMAXIA;Κανονικός
3065002220;ΣΩΜΑΤΑ  500/22/2000  VC-PROFIL BUDERUS;487,32;TEMAXIA;Κανονικός
3065002218;ΣΩΜΑΤΑ  500/22/1800  VC-PROFIL BUDERUS;448,88;TEMAXIA;Κανονικός
3065002216;ΣΩΜΑΤΑ  500/22/1600  VC-PROFIL BUDERUS;407,96;TEMAXIA;Κανονικός
3065002214;ΣΩΜΑΤΑ  500/22/1400  VC-PROFIL BUDERUS;370,76;TEMAXIA;Κανονικός
3065002212;ΣΩΜΑΤΑ  500/22/1200  VC-PROFIL BUDERUS;331,08;TEMAXIA;Κανονικός
3065002210;ΣΩΜΑΤΑ  500/22/1000  VC-PROFIL BUDERUS;296,36;TEMAXIA;Κανονικός
3065002209;ΣΩΜΑΤΑ  500/22/900  VC-PROFIL BUDERUS;276,52;TEMAXIA;Κανονικός
3065002208;ΣΩΜΑΤΑ  500/22/800  VC-PROFIL BUDERUS;260,4;TEMAXIA;Κανονικός
3065002207;ΣΩΜΑΤΑ  500/22/700  VC-PROFIL BUDERUS;244,28;TEMAXIA;Κανονικός
3065002206;ΣΩΜΑΤΑ  500/22/600  VC-PROFIL BUDERUS;229,4;TEMAXIA;Κανονικός
3065002205;ΣΩΜΑΤΑ  500/22/500  VC-PROFIL BUDERUS;213,28;TEMAXIA;Κανονικός
3065002204;ΣΩΜΑΤΑ  500/22/400  VC-PROFIL BUDERUS;198,4;TEMAXIA;Κανονικός
3065001130;ΣΩΜΑΤΑ  500/11/3000  VC-PROFIL BUDERUS;465;TEMAXIA;Κανονικός
3065001126;ΣΩΜΑΤΑ  500/11/2600  VC-PROFIL BUDERUS;426,56;TEMAXIA;Κανονικός
3065001123;ΣΩΜΑΤΑ  500/11/2300  VC-PROFIL BUDERUS;396,8;TEMAXIA;Κανονικός
3065001120;ΣΩΜΑΤΑ  500/11/2000  VC-PROFIL BUDERUS;364,56;TEMAXIA;Κανονικός
3065001118;ΣΩΜΑΤΑ  500/11/1800  VC-PROFIL BUDERUS;338,52;TEMAXIA;Κανονικός
3065001116;ΣΩΜΑΤΑ  500/11/1600  VC-PROFIL BUDERUS;305,04;TEMAXIA;Κανονικός
3065001114;ΣΩΜΑΤΑ  500/11/1400  VC-PROFIL BUDERUS;281,48;TEMAXIA;Κανονικός
3065001112;ΣΩΜΑΤΑ  500/11/1200  VC-PROFIL BUDERUS;254,2;TEMAXIA;Κανονικός
3065001110;ΣΩΜΑΤΑ  500/11/1000  VC-PROFIL BUDERUS;234,36;TEMAXIA;Κανονικός
3065001109;ΣΩΜΑΤΑ  500/11/900  VC-PROFIL BUDERUS;224,44;TEMAXIA;Κανονικός
3065001108;ΣΩΜΑΤΑ  500/11/800  VC-PROFIL BUDERUS;212,04;TEMAXIA;Κανονικός
3065001107;ΣΩΜΑΤΑ  500/11/700  VC-PROFIL BUDERUS;207,08;TEMAXIA;Κανονικός
3065001106;ΣΩΜΑΤΑ  500/11/600  VC-PROFIL BUDERUS;195,92;TEMAXIA;Κανονικός
3065001105;ΣΩΜΑΤΑ  500/11/500  VC-PROFIL BUDERUS;183,52;TEMAXIA;Κανονικός
3065001104;ΣΩΜΑΤΑ  500/11/400  VC-PROFIL BUDERUS;178,56;TEMAXIA;Κανονικός
